bm_lab 4 PRIMARY 0 of 18 start  SAME gap 19.913775070084657 seconds 3.25
bm_lab 4 PRIMARY 1 of 18 A 0.025 SAME gap 20.41166659283616 seconds 2.48
bm_lab 4 PRIMARY 2 of 18 A 0.05 SAME gap 21.31298531963046 seconds 2.53
bm_lab 4 PRIMARY 3 of 18 A 0.07500000000000001 SAME gap 22.442255895294473 seconds 2.79
bm_lab 4 PRIMARY 4 of 18 A 0.1 SAME gap 23.618947367927614 seconds 2.94
bm_lab 4 PRIMARY 5 of 18 A 0.125 SAME gap 24.697320690021147 seconds 2.5
bm_lab 4 PRIMARY 6 of 18 A 0.15000000000000002 SAME gap 25.521313689064 seconds 2.6
bm_lab 4 PRIMARY 7 of 18 A 0.17500000000000002 SAME gap 25.92514398289754 seconds 2.57
bm_lab 4 PRIMARY 8 of 18 A 0.2 SAME gap 26.100011862621812 seconds 2.53
bm_lab 4 PRIMARY 9 of 18 B -0.025 SAME gap 24.472971854721457 seconds 2.79
bm_lab 4 PRIMARY 10 of 18 B -0.05 SAME gap 22.892107227362096 seconds 2.55
bm_lab 4 PRIMARY 11 of 18 B -0.07500000000000001 SAME gap 20.84106775080702 seconds 2.65
bm_lab 4 PRIMARY 12 of 18 B -0.1 SAME gap 18.495671220862313 seconds 2.55
bm_lab 4 PRIMARY 13 of 18 B -0.125 SAME gap 16.029777757364556 seconds 2.59
bm_lab 4 PRIMARY 14 of 18 B -0.15000000000000002 SAME gap 13.529636187496585 seconds 2.67
bm_lab 4 PRIMARY 15 of 18 B -0.17500000000000002 SAME gap 11.035113032885782 seconds 2.62
bm_lab 4 PRIMARY 16 of 18 B -0.2 SAME gap 8.565306644907487 seconds 2.81
bm_lab 4 PRIMARY 17 of 18 B -0.225 SAME gap 6.130633240214639 seconds 2.61
bm_lab 4 PRIMARY 18 of 18 B -0.25 SAME gap 3.738450730964246 seconds 2.65
{
  "status": "ACCEPT",
  "engine": "bm_lab",
  "N": 4,
  "protocol_sha256": "46afff62966a9a6c5ae9a96d2d3c3b513045f93b63778d4f3570f76239483435",
  "states": 19,
  "fresh_start": true,
  "forbidden_calls": {
    "BM.refine": 0,
    "BM.find_nodes": 0,
    "BM.min_remote": 0,
    "euler.real_frame": 0,
    "euler.euler": 0,
    "braid.real_frame": 0,
    "braid.node_winding": 0,
    "braid.transport": 0,
    "braid.adjacent_nodes": 0,
    "knobs.analyse": 0,
    "TBG.refine": 0
  },
  "scope": "Dynamic call exclusion for this complete preparation route only",
  "seconds": 50.714550495147705
}
